Time;Latitude;Longitude;Altitude;Speed;row;pitch;yaw
224,448335;-6,9800901;107,5696822;680,84;0,1746425;-0,77;-434.000.000.000.000;238.220.000.000.000
224,6284;-6,9800905;107,569682;680,87;0,3231099;-0,12;-346.000.000.000.000;238.030.000.000.000
224,828314;-6,9800908;107,5696819;680,9;0,05830951;267.000.000.000.000;-129.000.000.000.000;236.560.000.000.000
225,048267;-6,9800909;107,5696817;680,91;0,1655294;298.000.000.000.000;-176.000.000.000.000;236.350.000.000.000
225,228314;-6,980091;107,5696817;680,88;0,130384;324.000.000.000.000;-246.000.000.000.000;236.210.000.000.000
225,428338;-6,9800908;107,5696819;680,87;0,1802776;344.000.000.000.000;-314.000.000.000.000;236.130.000.000.000
225,628519;-6,9800908;107,5696821;680,89;0,09486832;367.000.000.000.000;-382.000.000.000.000;236.110.000.000.000
225,828673;-6,9800908;107,569682;680,85;0,07810249;386.000.000.000.000;-452.000.000.000.000;236.120.000.000.000
226,047735;-6,9800909;107,5696822;680,91;0,1603122;404.000.000.000.000;-521.000.000.000.000;236.120.000.000.000
226,228316;-6,9800908;107,5696821;680,88;0,1360147;428.000.000.000.000;-572.000.000.000.000;236.100.000.000.000
226,428507;-6,9800908;107,5696818;680,89;0,2039608;461.000.000.000.000;-597.000.000.000.000;236.060.000.000.000
226,628244;-6,9800907;107,5696813;680,86;0,2507987;495.000.000.000.000;-586.000.000.000.000;236.010.000.000.000
226,828171;-6,9800908;107,5696808;680,88;0,3901282;526.000.000.000.000;-542.000.000.000.000;235.970.000.000.000
227,04753;-6,9800907;107,56968;680,85;0,3201562;551.000.000.000.000;-472.000.000.000.000;235.960.000.000.000
227,228352;-6,9800908;107,5696796;680,82;0,1389244;565.000.000.000.000;-395.000.000.000.000;235.950.000.000.000
227,428154;-6,980091;107,5696794;680,82;0,2012461;571.000.000.000.000;-301.000.000.000.000;235.960.000.000.000
227,628127;-6,9800913;107,5696793;680,82;0,1523155;574.000.000.000.000;-193.000.000.000.000;235.990.000.000.000
227,828503;-6,9800914;107,5696789;680,74;0,2879236;579.000.000.000.000;-0,83;236.050.000.000.000
228,028217;-6,9800915;107,5696783;680,73;0,4295346;582.000.000.000.000;0,17;236.070.000.000.000
228,228209;-6,9800916;107,5696776;680,7;0,486621;578.000.000.000.000;0,81;236.020.000.000.000
228,428135;-6,9800916;107,5696772;680,72;0,1711724;565.000.000.000.000;0,9;235.940.000.000.000
228,628271;-6,9800915;107,5696773;680,66;0,2701851;553.000.000.000.000;101.000.000.000.000;236.020.000.000.000
228,828285;-6,9800915;107,5696775;680,66;0,08;542.000.000.000.000;140.000.000.000.000;236.130.000.000.000
229,028221;-6,9800914;107,5696775;680,61;0,08544003;526.000.000.000.000;177.000.000.000.000;236.360.000.000.000
229,228167;-6,9800912;107,5696774;680,63;0,1972308;509.000.000.000.000;210.000.000.000.000;236.770.000.000.000
229,428128;-6,980091;107,5696773;680,63;0,07810249;487.000.000.000.000;264.000.000.000.000;237.240.000.000.000
229,628123;-6,9800908;107,5696774;680,61;0,1431782;451.000.000.000.000;312.000.000.000.000;237.710.000.000.000
229,847808;-6,9800906;107,5696776;680,6;0,05;406.000.000.000.000;335.000.000.000.000;238.210.000.000.000
230,02835;-6,9800906;107,5696777;680,62;0,12;365.000.000.000.000;339.000.000.000.000;238.690.000.000.000
230,247538;-6,9800906;107,5696776;680,56;0,1204159;333.000.000.000.000;307.000.000.000.000;239.050.000.000.000
230,42827;-6,9800906;107,5696775;680,56;0,1;291.000.000.000.000;239.000.000.000.000;239.290.000.000.000
230,628492;-6,9800906;107,5696775;680,49;0,05;218.000.000.000.000;160.000.000.000.000;239.410.000.000.000
230,827598;-6,9800905;107,5696778;680,49;0,116619;124.000.000.000.000;0,92;239.440.000.000.000
231,028233;-6,9800904;107,569678;680,48;0,03;0,28;0,37;239.500.000.000.000
231,228559;-6,9800903;107,5696781;680,43;0,12;-0,41;-0,01;239.640.000.000.000
231,428219;-6,98009;107,5696783;680,38;0,1334166;-0,8;-0,31;239.860.000.000.000
231,628523;-6,9800897;107,5696783;680,32;0,1104536;-0,92;-0,51;240.180.000.000.000
231,828273;-6,9800895;107,5696785;680,34;0,07211103;-0,87;-0,64;240.590.000.000.000
232,028222;-6,9800893;107,5696787;680,33;0,1414213;-0,78;-0,69;241.070.000.000.000
232,228286;-6,9800891;107,5696788;680,3;0,09219544;-0,67;-0,66;241.540.000.000.000
232,428228;-6,9800891;107,5696789;680,27;0,1104536;-0,47;-0,67;241.990.000.000.000
232,628384;-6,980089;107,5696791;680,27;0,09486832;-0,22;-0,68;242.400.000.000.000
232,828224;-6,9800889;107,5696793;680,21;0,06082762;-0,08;-0,63;242.790.000.000.000
233,028241;-6,9800888;107,5696795;680,23;0,09219544;-0,05;-0,43;243.210.000.000.000
233,228183;-6,9800885;107,5696796;680,2;0,1;-0,14;-0,16;243.660.000.000.000
233,428329;-6,9800882;107,5696798;680,17;0,1029563;-0,24;0,12;244.120.000.000.000
233,62845;-6,9800881;107,5696799;680,18;0,06;-0,31;0,39;244.600.000.000.000
233,828337;-6,9800878;107,5696798;680,17;0,08544003;-0,31;0,66;245.150.000.000.000
234,028297;-6,9800875;107,5696798;680,22;0,13;-0,24;0,91;245.800.000.000.000
234,228341;-6,9800872;107,5696797;680,23;0,1746425;-0,14;113.000.000.000.000;246.450.000.000.000
234,428305;-6,9800869;107,5696796;680,22;0,07071067;0,01;126.000.000.000.000;247.110.000.000.000
234,62857;-6,9800869;107,5696797;680,22;0,1315295;0,17;135.000.000.000.000;247.740.000.000.000
234,828234;-6,9800867;107,5696799;680,18;0,1581139;0,28;141.000.000.000.000;248.350.000.000.000
235,028727;-6,9800866;107,5696801;680,14;0,1431782;0,29;148.000.000.000.000;248.910.000.000.000
235,228231;-6,9800866;107,56968;680,02;0,09055385;0,22;161.000.000.000.000;249.370.000.000.000
235,428237;-6,9800864;107,5696799;6,8E-10;0,06403124;0,1;179.000.000.000.000;249.740.000.000.000
235,62825;-6,9800863;107,5696798;679,97;0,04123105;0;197.000.000.000.000;249.980.000.000.000
235,847945;-6,980086;107,5696797;679,88;0,1843909;-0,04;221.000.000.000.000;250.130.000.000.000
236,028287;-6,9800858;107,5696797;679,87;0,1118034;-0,08;253.000.000.000.000;250.160.000.000.000
236,228338;-6,9800859;107,5696796;679,9;0,1486607;-0,09;286.000.000.000.000;250.090.000.000.000
236,428639;-6,9800858;107,5696795;679,88;0,1004988;-0,04;315.000.000.000.000;249.950.000.000.000
236,628031;-6,9800857;107,5696797;679,88;0,09848858;0,07;340.000.000.000.000;249.780.000.000.000
236,828197;-6,9800856;107,5696797;679,83;0,03162277;0,27;356.000.000.000.000;249.640.000.000.000
237,028169;-6,9800855;107,5696798;679,79;0,1264911;0,53;362.000.000.000.000;249.600.000.000.000
237,228048;-6,9800855;107,5696799;679,78;0,09219544;0,77;360.000.000.000.000;249.630.000.000.000
237,428685;-6,9800854;107,5696799;679,71;0,09486832;0,96;352.000.000.000.000;249.720.000.000.000
237,628545;-6,9800854;107,56968;679,7;0,07211103;116.000.000.000.000;340.000.000.000.000;249.860.000.000.000
237,828042;-6,9800853;107,5696799;679,59;0,1220656;136.000.000.000.000;329.000.000.000.000;250
238,028046;-6,9800853;107,5696799;679,55;0,1236932;155.000.000.000.000;323.000.000.000.000;250.080.000.000.000
238,228199;-6,9800853;107,5696796;679,5;0,1077033;168.000.000.000.000;314.000.000.000.000;250.080.000.000.000
238,428675;-6,9800854;107,5696794;679,51;0,1702939;173.000.000.000.000;297.000.000.000.000;249.970.000.000.000
238,628298;-6,9800855;107,5696791;679,51;0,284605;174.000.000.000.000;286.000.000.000.000;249.790.000.000.000
238,827726;-6,9800857;107,5696787;679,48;0,2469818;164.000.000.000.000;290.000.000.000.000;249.510.000.000.000
239,028213;-6,9800861;107,5696785;679,49;0,27313;151.000.000.000.000;301.000.000.000.000;249.250.000.000.000
239,228134;-6,9800867;107,5696782;679,44;0,4346263;140.000.000.000.000;313.000.000.000.000;249.050.000.000.000
239,427982;-6,9800873;107,5696778;679,47;0,4103657;132.000.000.000.000;336.000.000.000.000;249.010.000.000.000
239,628201;-6,9800878;107,5696773;679,56;0,4494441;130.000.000.000.000;364.000.000.000.000;249.190.000.000.000
239,828225;-6,9800883;107,5696766;679,57;0,4045986;137.000.000.000.000;376.000.000.000.000;249.540.000.000.000
